feature_set,scenario,scenario_sign,dsa_margin_vs_baseline_pp,direct_DY_LP_margin_pp,Y_shortfall_pct,direct_discretionary_PB_level_pp
debt,three_1pp_cut_2028_2030,cut,3.6806664998779297,2.681393498857442,4.846459640431504,2.096736784698299
debt,three_1pp_expansion_2028_2030,expansion,-3.380088511948472,-2.681393498857442,-4.846459640431504,-2.096736784698299
debt+liq,three_1pp_cut_2028_2030,cut,3.7716757761547086,2.093231409051185,4.781999827917998,2.090896707117337
debt+liq,three_1pp_expansion_2028_2030,expansion,-3.4861598013719117,-2.093231409051185,-4.781999827917998,-2.090896707117337
debt+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,-3.4374258725040363,0.5844040405718636,1.9217201888212945,1.991654633673162
debt+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,3.5248244934558386,-0.5844040405718636,-1.9217201888212945,-1.991654633673162
debt+log_gdp_pc,three_1pp_cut_2028_2030,cut,-2.2121694949482844,1.8881061030760904,2.549086549737164,2.012705164605369
debt+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2.320626704879274,-1.8881061030760904,-2.549086549737164,-2.012705164605369
linear_benchmark,three_1pp_cut_2028_2030,cut,7.659802440861142,3.4822259956592587,6.088868499387285,2.1549014753322804
linear_benchmark,three_1pp_expansion_2028_2030,expansion,-7.140701968192403,-3.4822259956592587,-6.088868499387285,-2.1549014753322804
liq,three_1pp_cut_2028_2030,cut,7.334595887182644,3.5130950649138333,5.943030665460828,2.16176800822286
liq,three_1pp_expansion_2028_2030,expansion,-6.84714698663619,-3.5130950649138333,-5.943030665460828,-2.16176800822286
liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,-3.195366931455183,-3.425003710405907,1.758425109070315,1.8870718938473547
liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,3.2697817516566516,3.425003710405907,-1.758425109070315,-1.8870718938473547
log_gdp_pc,three_1pp_cut_2028_2030,cut,-0.7982133098898885,-2.261989366830451,2.7262967640008746,1.9037322353128614
log_gdp_pc,three_1pp_expansion_2028_2030,expansion,0.894298312155243,2.261989366830451,-2.7262967640008746,-1.9037322353128614
trade,three_1pp_cut_2028_2030,cut,4.321313258261398,1.6629715166470893,4.538610215215073,1.9795350471158875
trade,three_1pp_expansion_2028_2030,expansion,-4.081318616800786,-1.6629715166470893,-4.538610215215073,-1.9795350471158875
trade+debt,three_1pp_cut_2028_2030,cut,-1.5405598461991303,0.4287243893398466,2.6316227655834936,1.8865826222953495
trade+debt,three_1pp_expansion_2028_2030,expansion,1.6198680014918807,-0.4287243893398466,-2.6316227655834936,-1.8865826222953495
trade+debt+liq,three_1pp_cut_2028_2030,cut,-1.355009138184812,0.20937019397200118,2.71382668834958,1.9057655677720615
trade+debt+liq,three_1pp_expansion_2028_2030,expansion,1.429788296503986,-0.20937019397200118,-2.71382668834958,-1.9057655677720615
trade+debt+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,-7.612995988674811,0.02766043017570019,0.16571700577161186,1.8445600297869336
trade+debt+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,7.747649953811646,-0.02766043017570019,-0.16571700577161186,-1.8445600297869336
trade+debt+log_gdp_pc,three_1pp_cut_2028_2030,cut,-7.389270716089229,0.625082083804979,0.2493853361990102,1.8137030231251372
trade+debt+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,7.534240143513841,-0.625082083804979,-0.2493853361990102,-1.8137030231251372
trade+liq,three_1pp_cut_2028_2030,cut,4.223761672650511,1.9051293044592992,4.560083040352598,2.012449877171552
trade+liq,three_1pp_expansion_2028_2030,expansion,-3.987472073734139,-1.9051293044592992,-4.560083040352598,-2.012449877171552
trade+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,-4.618257516334083,-2.7061392313022106,1.0016582528136853,1.7858728783811795
trade+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,4.674240136747699,2.7061392313022106,-1.0016582528136853,-1.7858728783811795
trade+log_gdp_pc,three_1pp_cut_2028_2030,cut,-3.370744034738877,-2.645463068768801,1.3730320514168235,1.7353211301693838
trade+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,3.425862245711002,2.645463068768801,-1.3730320514168235,-1.7353211301693838
